"time","capacitor.C","capacitor.IC","capacitor.v","inductor.L","inductor.i","resistor.R","resistor.v","resistor.LossPower"
"0.573","0.47148819732072145","10.0","6.4761348527954326","0.9199976744117679","5.406415191590191","0.03865993145239214","-0.2090116407100483","1.1300037095539959"
"0.574","0.47148819732072145","10.0","6.464660915880524","0.9199976744117679","5.413220912393562","0.03865993145239214","-0.20927474940979077","1.1328504499410017"
"0.575","0.47148819732072145","10.0","6.453172557912865","0.9199976744117679","5.420013867912016","0.03865993145239214","-0.20953736460449332","1.1356954220020903"
"0.576","0.47148819732072145","10.0","6.441669805987238","0.9199976744117679","5.426794043024449","0.03865993145239214","-0.20979948570957518","1.1385385992783157"
"0.577","0.47148819732072145","10.0","6.430152687230764","0.9199976744117679","5.433561422640071","0.03865993145239214","-0.21006111214162745","1.1413799553296167"
"0.578","0.47148819732072145","10.0","6.418621228802853","0.9199976744117679","5.440315991698429","0.03865993145239214","-0.21032224331841404","1.144219463735056"
"0.579","0.47148819732072145","10.0","6.40707545789513","0.9199976744117679","5.447057735169455","0.03865993145239214","-0.2105828786588735","1.1470570980930677"
"0.58","0.47148819732072145","10.0","6.395515401731407","0.9199976744117679","5.45378663805351","0.03865993145239214","-0.21084301758312085","1.1498928320217057"
"0.581","0.47148819732072145","10.0","6.383941087567596","0.9199976744117679","5.4605026853814085","0.03865993145239214","-0.21110265951244844","1.152726639158882"
"0.582","0.47148819732072145","10.0","6.372352542691677","0.9199976744117679","5.4672058622144775","0.03865993145239214","-0.21136180386932815","1.1555584931626175"
"0.583","0.47148819732072145","10.0","6.360749794423628","0.9199976744117679","5.47389615364458","0.03865993145239214","-0.21162045007741243","1.1583883677112827"
"0.584","0.47148819732072145","10.0","6.349132870115374","0.9199976744117679","5.480573544794163","0.03865993145239214","-0.21187859756153615","1.161216236503844"
"0.585","0.47148819732072145","10.0","6.337501797150732","0.9199976744117679","5.487238020816302","0.03865993145239214","-0.21213624574771814","1.1640420732601096"
"0.586","0.47148819732072145","10.0","6.325856602945349","0.9199976744117679","5.4938895668947225","0.03865993145239214","-0.21239339406316232","1.166865851720967"
"0.587","0.47148819732072145","10.0","6.314197314946654","0.9199976744117679","5.50052816824386","0.03865993145239214","-0.21265004193625972","1.1696875456486346"
"0.588","0.47148819732072145","10.0","6.3025239606337955","0.9199976744117679","5.507153810108889","0.03865993145239214","-0.21290618879658985","1.1725071288269022"
"0.589","0.47148819732072145","10.0","6.290836567517585","0.9199976744117679","5.513766477765767","0.03865993145239214","-0.2131618340749222","1.1753245750613746"
"0.59","0.47148819732072145","10.0","6.279135163140446","0.9199976744117679","5.520366156521271","0.03865993145239214","-0.21341697720321778","1.1781398581797151"
"0.591","0.47148819732072145","10.0","6.267419775076357","0.9199976744117679","5.526952831713037","0.03865993145239214","-0.21367161761463063","1.180952952031888"
"0.592","0.47148819732072145","10.0","6.2556904309307875","0.9199976744117679","5.533526488709603","0.03865993145239214","-0.21392575474350942","1.1837638304904032"
"0.593","0.47148819732072145","10.0","6.243947158340652","0.9199976744117679","5.540087112910447","0.03865993145239214","-0.21417938802539896","1.1865724674505589"
"0.594","0.47148819732072145","10.0","6.232189984974248","0.9199976744117679","5.546634689746027","0.03865993145239214","-0.21443251689704174","1.1893788368306828"
"0.595","0.47148819732072145","10.0","6.220418938531201","0.9199976744117679","5.553169204677819","0.03865993145239214","-0.21468514079637946","1.1921829125723762"
"0.596","0.47148819732072145","10.0","6.208634046742407","0.9199976744117679","5.55969064319836","0.03865993145239214","-0.21493725916255457","1.1949846686407557"
"0.597","0.47148819732072145","10.0","6.1968353373699845","0.9199976744117679","5.566198990831287","0.03865993145239214","-0.21518887143591187","1.1977840790246963"
"0.598","0.47148819732072145","10.0","6.185022838207203","0.9199976744117679","5.572694233131371","0.03865993145239214","-0.2154399770579998","1.2005811177370704"
"0.599","0.47148819732072145","10.0","6.173196577078441","0.9199976744117679","5.579176355684568","0.03865993145239214","-0.2156905754715724","1.2033757588149945"
"0.6","0.47148819732072145","10.0","6.161356581839123","0.9199976744117679","5.585645344108048","0.03865993145239214","-0.21594066612059046","1.2061679763200666"
"0.601","0.47148819732072145","10.0","6.149502880375661","0.9199976744117679","5.592101184050241","0.03865993145239214","-0.21619024845022325","1.2089577443386093"
"0.602","0.47148819732072145","10.0","6.137635500605409","0.9199976744117679","5.59854386119087","0.03865993145239214","-0.21643932190684984","1.2117450369819087"
"0.603","0.47148819732072145","10.0","6.125754470476596","0.9199976744117679","5.604973361241005","0.03865993145239214","-0.21668788593806124","1.2145298283864627"
"0.604","0.47148819732072145","10.0","6.113859817968272","0.9199976744117679","5.611389669943082","0.03865993145239214","-0.21693593999266092","1.2173120927142098"
"0.605","0.47148819732072145","10.0","6.101951571090257","0.9199976744117679","5.617792773070964","0.03865993145239214","-0.21718348352066744","1.2200918041527824"
